DateTime,activity,M,z,m
22-Feb-16 05:59 AM,0,,,
22-Feb-16 06:00 AM,0,,,
22-Feb-16 06:01 AM,0,,,
22-Feb-16 06:02 AM,0,,,
22-Feb-16 06:03 AM,0,,,
22-Feb-16 06:04 AM,0,,,
22-Feb-16 06:05 AM,0,,,
22-Feb-16 06:06 AM,0,,,
22-Feb-16 06:07 AM,0,,,
22-Feb-16 06:08 AM,0,,,
22-Feb-16 06:09 AM,0,,,
22-Feb-16 06:10 AM,0,,,
22-Feb-16 06:11 AM,0,,,
22-Feb-16 06:12 AM,0,,,
22-Feb-16 06:13 AM,0,,,
22-Feb-16 06:14 AM,0,,,
22-Feb-16 06:15 AM,0,,,
22-Feb-16 06:16 AM,0,,,
22-Feb-16 06:17 AM,0,,,
22-Feb-16 06:18 AM,0,,,
22-Feb-16 06:19 AM,0,,,
22-Feb-16 06:20 AM,0,,,
22-Feb-16 06:21 AM,0,,,
22-Feb-16 06:22 AM,0,,,
22-Feb-16 06:23 AM,0,,,
22-Feb-16 06:24 AM,0,,,
22-Feb-16 06:25 AM,0,,,
22-Feb-16 06:26 AM,0,,,
22-Feb-16 06:27 AM,0,,,
22-Feb-16 06:28 AM,0,,,
22-Feb-16 06:29 AM,0,,,
22-Feb-16 06:30 AM,0,,,
22-Feb-16 06:31 AM,0,,,
22-Feb-16 06:32 AM,0,,,
22-Feb-16 06:33 AM,0,,,
22-Feb-16 06:34 AM,0,,,
22-Feb-16 06:35 AM,0,,,
22-Feb-16 06:36 AM,0,,,
22-Feb-16 06:37 AM,0,,,
22-Feb-16 06:38 AM,0,,,
22-Feb-16 06:39 AM,0,,,
22-Feb-16 06:40 AM,0,,,
22-Feb-16 06:41 AM,0,,,
22-Feb-16 06:42 AM,0,,,
22-Feb-16 06:43 AM,0,,,
22-Feb-16 06:44 AM,0,,,
22-Feb-16 06:45 AM,0,,,
22-Feb-16 06:46 AM,0,,,
22-Feb-16 06:47 AM,0,,,
22-Feb-16 06:48 AM,0,,,
22-Feb-16 06:49 AM,0,,,
22-Feb-16 06:50 AM,0,,,
22-Feb-16 06:51 AM,0,,,
22-Feb-16 06:52 AM,0,,,
22-Feb-16 06:53 AM,0,,,
22-Feb-16 06:54 AM,0,,,
22-Feb-16 06:55 AM,0,,,
22-Feb-16 06:56 AM,0,,,
22-Feb-16 06:57 AM,0,,,
22-Feb-16 06:58 AM,0,,,
22-Feb-16 06:59 AM,0,,,
22-Feb-16 07:00 AM,0,,,
22-Feb-16 07:01 AM,0,,,
22-Feb-16 07:02 AM,0,,,
22-Feb-16 07:03 AM,0,,,
22-Feb-16 07:04 AM,0,,,
22-Feb-16 07:05 AM,0,,,
22-Feb-16 07:06 AM,0,,,
22-Feb-16 07:07 AM,0,,,
22-Feb-16 07:08 AM,0,,,
22-Feb-16 07:09 AM,0,,,
22-Feb-16 07:10 AM,0,,,
22-Feb-16 07:11 AM,0,,,
22-Feb-16 07:12 AM,0,,,
22-Feb-16 07:13 AM,0,,,
22-Feb-16 07:14 AM,0,,,
22-Feb-16 07:15 AM,0,,,
22-Feb-16 07:16 AM,0,,,
22-Feb-16 07:17 AM,0,,,
22-Feb-16 07:18 AM,0,,,
22-Feb-16 07:19 AM,0,,,
22-Feb-16 07:20 AM,0,,,
22-Feb-16 07:21 AM,0,,,
22-Feb-16 07:22 AM,0,,,
22-Feb-16 07:23 AM,0,,,
22-Feb-16 07:24 AM,0,,,
22-Feb-16 07:25 AM,0,,,
22-Feb-16 07:26 AM,0,,,
22-Feb-16 07:27 AM,0,,,
22-Feb-16 07:28 AM,0,,,
22-Feb-16 07:29 AM,0,,,
22-Feb-16 07:30 AM,0,,,
22-Feb-16 07:31 AM,0,,,
22-Feb-16 07:32 AM,0,,,
22-Feb-16 07:33 AM,0,,,
22-Feb-16 07:34 AM,0,,,
22-Feb-16 07:35 AM,0,,,
22-Feb-16 07:36 AM,0,,,
22-Feb-16 07:37 AM,0,,,
22-Feb-16 07:38 AM,0,,,
22-Feb-16 07:39 AM,0,,,
22-Feb-16 07:40 AM,0,,,
22-Feb-16 07:41 AM,0,,,
22-Feb-16 07:42 AM,0,,,
22-Feb-16 07:43 AM,0,,,
22-Feb-16 07:44 AM,0,,,
22-Feb-16 07:45 AM,0,,,
22-Feb-16 07:46 AM,0,,,
22-Feb-16 07:47 AM,0,,,
22-Feb-16 07:48 AM,0,,,
22-Feb-16 07:49 AM,0,,,
22-Feb-16 07:50 AM,0,,,
22-Feb-16 07:51 AM,0,,,
22-Feb-16 07:52 AM,0,,,
22-Feb-16 07:53 AM,0,,,
22-Feb-16 07:54 AM,0,,,
22-Feb-16 07:55 AM,0,,,
22-Feb-16 07:56 AM,0,,,
22-Feb-16 07:57 AM,0,,,
22-Feb-16 07:58 AM,0,,,
22-Feb-16 07:59 AM,0,,,
22-Feb-16 08:00 AM,0,,,
22-Feb-16 08:01 AM,0,,,
22-Feb-16 08:02 AM,0,,,
22-Feb-16 08:03 AM,0,,,
22-Feb-16 08:04 AM,0,,,
22-Feb-16 08:05 AM,0,,,
22-Feb-16 08:06 AM,0,,,
22-Feb-16 08:07 AM,27,,,
22-Feb-16 08:08 AM,0,,,
22-Feb-16 08:09 AM,0,,,
